Date,Open,High,Low,Close,Adj Close,Volume
2021-06-08,63.810001,63.880001,63.020000,63.189999,61.228184,2263100
2021-06-09,61.779999,63.060001,61.610001,62.119999,60.191406,6910800
2021-06-10,62.139999,63.000000,61.970001,62.570000,60.627438,2880700
2021-06-11,62.680000,62.810001,62.060001,62.520000,60.578987,2602300
2021-06-14,62.400002,62.700001,61.950001,62.650002,60.704956,2020300
2021-06-15,62.750000,62.849998,62.070000,62.139999,60.210785,5381400
2021-06-16,62.369999,62.389999,61.110001,61.150002,59.251518,3842600
2021-06-17,61.040001,61.349998,60.410000,61.099998,59.203072,3149200
2021-06-18,60.759998,60.959999,59.759998,59.759998,57.904675,5416900
2021-06-21,60.150002,60.439999,59.779999,60.139999,58.272877,2926400
2021-06-22,60.209999,60.480000,60.009998,60.209999,58.340702,3433000
2021-06-23,60.070000,60.130001,59.200001,59.209999,57.371750,3058900
2021-06-24,59.070000,59.320000,58.830002,59.150002,57.313618,3121400
2021-06-25,59.029999,59.669998,58.959999,59.630001,57.778713,3047400
2021-06-28,59.750000,60.700001,59.720001,60.549999,58.670151,4843300
2021-06-29,60.590000,60.889999,59.770000,60.029999,58.166294,3715400
2021-06-30,59.950001,61.669998,59.910000,60.930000,59.038353,7163600
2021-07-01,60.950001,61.000000,60.110001,60.220001,58.350395,3446700
2021-07-02,60.520000,60.650002,60.110001,60.220001,58.350395,3086200
2021-07-06,60.119999,60.389999,59.610001,59.840000,57.982197,4172500
2021-07-07,59.799999,60.759998,59.700001,60.389999,58.515118,3793600
2021-07-08,59.849998,60.689999,59.459999,59.660000,58.300129,2755200
2021-07-09,59.639999,60.090000,59.500000,59.700001,58.339218,3037300
2021-07-12,59.660000,59.730000,58.970001,59.270000,57.919022,2775700
2021-07-13,59.200001,59.750000,58.980000,59.130001,57.782211,3538500
2021-07-14,58.849998,59.419998,58.540001,59.270000,57.919022,3681700
2021-07-15,59.279999,59.849998,58.959999,59.779999,58.417397,2448700
2021-07-16,59.869999,60.139999,59.759998,60.049999,58.681240,3324200
2021-07-19,60.009998,60.830002,59.529999,60.730000,59.345741,4381400
2021-07-20,60.990002,61.580002,59.880001,59.919998,58.554203,4422300
2021-07-21,59.860001,59.959999,58.919998,58.990002,57.645405,4272600
2021-07-22,58.779999,59.040001,58.430000,58.799999,57.459732,1934000
2021-07-23,58.830002,59.610001,58.560001,59.400002,58.046059,2466400
2021-07-26,59.340000,59.639999,59.209999,59.320000,57.967880,2171700
2021-07-27,59.360001,60.040001,59.130001,59.549999,58.192638,2337600
2021-07-28,59.230000,59.490002,58.660000,58.820000,57.479279,2844500
2021-07-29,59.009998,59.310001,58.720001,58.910000,57.567226,2308000
2021-07-30,59.099998,59.349998,58.770000,58.860001,57.518368,3325600
2021-08-02,58.840000,59.430000,58.709999,59.369999,58.016739,3720500
2021-08-03,59.369999,59.959999,59.130001,59.389999,58.036285,2623900
2021-08-04,59.299999,59.299999,57.590000,57.630001,56.316402,4681100
2021-08-05,57.570000,57.930000,57.450001,57.580002,56.267544,2899500
2021-08-06,57.599998,58.450001,57.599998,57.869999,56.550930,3114100
2021-08-09,58.049999,58.410000,57.930000,58.349998,57.019989,1958600
2021-08-10,58.230000,58.560001,58.040001,58.490002,57.156799,2677300
2021-08-11,58.660000,59.360001,58.580002,59.049999,57.704037,2435700
2021-08-12,58.970001,59.340000,58.880001,58.950001,57.606316,2047500
2021-08-13,59.200001,59.939999,59.040001,59.840000,58.476028,2206200
2021-08-16,59.919998,60.330002,59.810001,60.130001,58.759418,2468400
2021-08-17,60.189999,61.009998,60.009998,60.860001,59.472778,2880200
2021-08-18,60.680000,60.730000,59.230000,59.279999,57.928795,3578300
2021-08-19,59.299999,60.250000,59.290001,60.130001,58.759418,2620400
2021-08-20,60.330002,60.840000,59.900002,60.299999,58.925541,3151700
2021-08-23,60.169998,60.200001,59.549999,59.599998,58.241497,2275900
2021-08-24,59.509998,59.509998,58.310001,58.419998,57.088398,3016800
2021-08-25,58.230000,58.389999,57.990002,58.160000,56.834320,2539200
2021-08-26,58.009998,58.029999,57.040001,57.299999,55.993923,4820200
2021-08-27,57.209999,57.820000,56.950001,57.730000,56.414124,2878100
2021-08-30,57.580002,58.000000,57.430000,57.580002,56.267544,2605300
2021-08-31,57.639999,57.830002,57.320000,57.810001,56.492302,6098400
2021-09-01,57.919998,58.009998,57.310001,57.700001,56.384808,2444700
2021-09-02,57.709999,58.380001,57.709999,57.919998,56.599789,2579400
2021-09-03,57.959999,58.110001,57.540001,57.770000,56.453213,2270900
2021-09-07,57.580002,57.740002,56.669998,56.790001,55.495548,3925200
2021-09-08,58.000000,59.740002,57.930000,59.380001,58.026516,9179900
2021-09-09,59.009998,59.490002,58.439999,58.450001,57.117714,5723500
2021-09-10,58.290001,58.799999,57.830002,58.430000,57.098164,3640700
2021-09-13,58.150002,58.799999,57.820000,58.630001,57.293610,6841400
2021-09-14,58.799999,59.230000,58.599998,58.770000,57.430416,7179200
2021-09-15,58.720001,59.240002,58.610001,58.720001,57.381557,2506100
2021-09-16,58.750000,59.259998,58.250000,58.720001,57.381557,2533200
2021-09-17,58.509998,59.189999,58.299999,58.919998,57.577000,6750500
2021-09-20,58.720001,59.209999,58.480000,58.750000,57.410873,3643200
2021-09-21,58.139999,58.480000,57.470001,58.009998,56.687737,7307700
2021-09-22,59.790001,60.709999,58.700001,59.919998,58.554203,5660300
2021-09-23,60.180000,60.639999,59.650002,60.279999,58.905998,5039800
2021-09-24,60.320000,60.730000,60.220001,60.540001,59.160072,3154500
2021-09-27,60.570000,60.919998,59.529999,59.650002,58.290359,4018900
2021-09-28,59.810001,59.959999,58.849998,59.330002,57.977657,3270100
2021-09-29,59.139999,61.250000,59.139999,60.770000,59.384830,4632100
2021-09-30,60.869999,61.160000,59.820000,59.820000,58.456482,4064500
2021-10-01,60.810001,60.880001,59.900002,60.619999,59.238247,4769200
2021-10-04,60.590000,61.580002,60.500000,61.450001,60.049328,4943700
2021-10-05,61.430000,61.770000,61.080002,61.540001,60.137280,4137000
2021-10-06,61.509998,62.189999,61.090000,62.130001,60.713833,3099900
2021-10-07,61.700001,61.770000,61.139999,61.320000,60.418240,3872200
2021-10-08,61.360001,62.009998,61.080002,61.459999,60.556183,2559900
2021-10-11,61.490002,62.099998,61.330002,61.689999,60.782799,2879800
2021-10-12,61.840000,62.770000,61.639999,62.139999,61.226181,4557300
2021-10-13,62.009998,62.349998,61.160000,61.860001,60.950298,3198600
2021-10-14,62.020000,62.480000,61.880001,62.360001,61.442947,2608500
2021-10-15,62.480000,62.619999,61.900002,62.160000,61.245888,6426100
2021-10-18,62.080002,62.230000,61.500000,61.520000,60.615299,3164200
2021-10-19,61.480000,61.799999,61.259998,61.689999,60.782799,1945300
2021-10-20,61.779999,62.900002,61.779999,62.709999,61.787796,2645900
2021-10-21,62.840000,62.900002,62.160000,62.490002,61.571037,2267700
2021-10-22,62.500000,63.070000,62.450001,62.680000,61.758244,2028900
2021-10-25,62.520000,62.560001,61.700001,61.889999,60.979855,3888400
2021-10-26,61.970001,62.320000,61.889999,62.090000,61.176918,2600000
2021-10-27,62.369999,62.660000,61.200001,61.299999,60.398537,2593100
2021-10-28,61.509998,62.150002,61.410000,62.040001,61.127655,2473300
2021-10-29,61.910000,62.470001,61.759998,61.799999,60.891182,2470400
2021-11-01,61.820000,62.389999,61.820000,62.290001,61.373978,1964300
2021-11-02,62.459999,62.799999,62.110001,62.630001,61.708977,2147000
2021-11-03,62.689999,63.259998,62.610001,63.139999,62.211475,2196400
2021-11-04,63.000000,63.400002,62.389999,62.709999,61.787796,2627400
2021-11-05,62.799999,62.919998,62.410000,62.650002,61.728683,2048400
2021-11-08,62.660000,62.799999,62.020000,62.639999,61.718830,1911700
2021-11-09,62.889999,63.259998,62.529999,63.169998,62.241032,1780800
2021-11-10,63.389999,63.950001,63.009998,63.529999,62.595737,2447300
2021-11-11,63.259998,63.950001,62.720001,62.900002,61.975006,2726800
2021-11-12,63.049999,63.529999,62.639999,63.240002,62.310005,2903900
2021-11-15,63.230000,63.830002,63.000000,63.700001,62.763241,1751100
2021-11-16,63.779999,63.779999,63.230000,63.259998,62.329712,2020100
2021-11-17,63.180000,63.310001,62.900002,63.119999,62.191769,1925400
2021-11-18,62.889999,63.299999,62.619999,62.900002,61.975006,1844100
2021-11-19,63.209999,63.740002,62.009998,62.040001,61.127655,2656800
2021-11-22,62.000000,63.430000,61.880001,62.880001,61.955299,1936600
2021-11-23,62.990002,63.689999,62.930000,63.439999,62.507065,2026000
2021-11-24,63.509998,63.680000,62.889999,63.299999,62.369122,1484500
2021-11-26,63.240002,64.089996,62.610001,62.759998,61.837063,1704100
2021-11-29,62.919998,63.549999,62.360001,63.520000,62.585888,3536300
2021-11-30,63.230000,63.340000,61.689999,61.770000,60.861626,9085800
2021-12-01,61.959999,62.560001,61.410000,61.430000,60.526623,3386500
2021-12-02,61.889999,63.110001,61.810001,62.860001,61.935596,4692100
2021-12-03,63.189999,64.239998,63.090000,64.230003,63.285450,4066800
2021-12-06,64.360001,65.059998,64.279999,64.440002,63.492359,3516300
2021-12-07,64.239998,65.019997,63.840000,64.570000,63.620445,2863800
2021-12-08,64.559998,65.029999,63.490002,64.209999,63.265739,2484500
2021-12-09,64.239998,64.360001,63.680000,63.970001,63.029274,2685700
2021-12-10,64.360001,64.900002,64.129997,64.760002,63.807655,2784300
2021-12-13,64.699997,66.169998,64.260002,65.930000,64.960442,4602000
2021-12-14,65.989998,66.279999,65.620003,65.910004,64.940742,4487700
2021-12-15,66.089996,67.389999,66.040001,67.339996,66.349709,4700700
2021-12-16,67.139999,68.879997,66.750000,68.860001,67.847359,4705300
2021-12-17,68.790001,69.680000,67.629997,67.650002,66.655151,6564800
2021-12-20,67.120003,68.010002,67.029999,67.790001,66.793091,3891400
2021-12-21,64.500000,65.580002,63.900002,65.059998,64.103233,6915200
2021-12-22,65.089996,65.720001,64.580002,65.699997,64.733826,3885300
2021-12-23,66.000000,66.220001,65.830002,65.989998,65.019562,2332100
2021-12-27,66.160004,66.370003,65.730003,66.059998,65.088531,2503100
2021-12-28,66.040001,66.919998,66.040001,66.889999,65.906326,1929100
2021-12-29,67.080002,67.269997,66.709999,67.019997,66.034409,1871400
2021-12-30,67.190002,67.370003,66.680000,67.050003,66.063980,1822900
2021-12-31,67.010002,67.529999,66.800003,67.379997,66.389122,2017300
2022-01-03,67.199997,67.309998,65.889999,67.260002,66.270889,4013300
2022-01-04,67.269997,68.660004,67.250000,67.889999,66.891617,4659000
2022-01-05,68.139999,69.360001,68.099998,68.800003,67.788246,5202500
2022-01-06,68.949997,69.660004,68.360001,68.489998,67.482796,4417200
2022-01-07,68.089996,69.339996,67.699997,68.570000,68.068481,4973100
2022-01-10,68.589996,69.389999,68.519997,68.769997,68.267021,4442100
2022-01-11,68.959999,69.080002,67.400002,68.529999,68.028778,2891700
2022-01-12,68.260002,68.459999,67.760002,68.330002,67.830246,2919200
2022-01-13,68.370003,69.339996,68.070000,68.900002,68.396072,3010100
2022-01-14,68.940002,69.949997,68.790001,69.900002,69.388756,3466600
2022-01-18,69.419998,69.680000,68.510002,69.260002,68.753441,3332500
2022-01-19,69.160004,69.830002,68.779999,69.150002,68.644241,2611700
2022-01-20,69.099998,69.309998,68.430000,68.480003,67.979149,3801600
2022-01-21,69.230003,69.849998,68.779999,69.029999,68.525116,8034300
2022-01-24,68.980003,69.730003,67.260002,68.550003,68.048637,4706900
2022-01-25,68.209999,68.669998,67.440002,68.339996,67.840164,3968500
2022-01-26,68.000000,68.669998,67.449997,67.800003,67.304123,3680400
2022-01-27,68.180000,69.129997,67.949997,68.349998,67.850090,2608600
2022-01-28,68.260002,69.400002,67.720001,69.379997,68.872559,3473700
2022-01-31,68.820000,69.050003,68.029999,68.680000,68.177681,3856800
2022-02-01,68.720001,68.930000,67.589996,68.250000,67.750824,3577700
2022-02-02,68.120003,69.050003,68.000000,68.769997,68.267021,2898500
2022-02-03,68.980003,69.589996,68.660004,69.050003,68.544975,3600900
2022-02-04,68.800003,68.930000,67.320000,67.919998,67.423241,2823000
2022-02-07,68.250000,68.330002,67.489998,68.139999,67.641632,3149600
2022-02-08,68.449997,68.760002,68.089996,68.430000,67.929512,2466000
2022-02-09,68.559998,68.800003,68.010002,68.169998,67.671410,2655200
2022-02-10,67.959999,68.379997,66.849998,67.080002,66.589386,4477200
2022-02-11,67.220001,68.529999,67.089996,68.059998,67.562210,4301500
2022-02-14,68.269997,68.480003,66.620003,67.629997,67.135361,3001300
2022-02-15,67.690002,67.970001,66.800003,67.000000,66.509972,2688500
2022-02-16,66.949997,67.629997,66.220001,66.760002,66.271729,3060600
2022-02-17,66.870003,68.070000,66.629997,67.790001,67.294189,3177000
2022-02-18,67.510002,68.379997,67.500000,68.150002,67.651558,2942400
2022-02-22,68.080002,68.580002,66.919998,67.339996,66.847481,3654300
2022-02-23,67.500000,67.660004,67.010002,67.110001,66.619164,2849700
2022-02-24,66.860001,67.019997,64.449997,65.559998,65.080498,4956500
2022-02-25,65.769997,68.040001,65.699997,67.989998,67.492722,3892500
2022-02-28,66.989998,67.690002,66.669998,67.430000,66.936821,6353700
2022-03-01,66.900002,67.529999,66.419998,66.820000,66.331284,3474400
2022-03-02,66.550003,67.760002,66.180000,67.459999,66.966606,3108200
2022-03-03,67.639999,68.790001,67.430000,68.269997,67.770676,3754300
2022-03-04,67.320000,68.680000,67.129997,68.120003,67.621780,4240400
2022-03-07,67.610001,68.269997,66.760002,67.669998,67.175064,4374100
2022-03-08,67.360001,67.709999,63.720001,63.759998,63.293663,6768800
2022-03-09,64.480003,65.389999,64.010002,64.110001,63.641106,3761200
2022-03-10,63.770000,63.930000,62.500000,63.099998,62.638493,3560300
2022-03-11,63.080002,63.759998,62.200001,62.270000,61.814564,3535500
2022-03-14,62.680000,63.380001,62.160000,62.570000,62.112370,3156200
2022-03-15,63.160000,63.490002,62.759998,63.279999,62.817173,3143200
2022-03-16,63.330002,63.380001,61.910000,62.650002,62.191784,3631300
2022-03-17,62.610001,63.520000,62.389999,63.220001,62.757614,3712800
2022-03-18,63.250000,63.290001,61.669998,62.410000,61.953541,7789800
2022-03-21,62.740002,63.340000,62.110001,62.820000,62.360538,4519300
2022-03-22,62.830002,63.180000,61.860001,62.680000,62.221565,5658200
2022-03-23,65.300003,66.309998,63.830002,64.230003,63.760231,7668400
2022-03-24,64.489998,66.650002,64.419998,66.360001,65.874649,5427200
2022-03-25,66.639999,67.839996,66.500000,67.389999,66.897118,4047200
2022-03-28,67.349998,67.430000,66.379997,66.860001,66.370995,2807400
2022-03-29,67.180000,67.669998,66.879997,67.660004,67.165146,2568300
2022-03-30,67.540001,67.959999,67.000000,67.940002,67.443092,2966300
2022-03-31,67.860001,68.410004,67.699997,67.720001,67.224701,3027300
2022-04-01,67.919998,68.900002,67.459999,68.849998,68.346436,2380600
2022-04-04,68.629997,68.720001,67.610001,68.489998,67.989067,2542000
2022-04-05,68.349998,69.900002,68.339996,69.160004,68.654175,3335800
2022-04-06,69.250000,70.059998,68.910004,69.730003,69.220001,3944800
2022-04-07,69.370003,69.900002,69.000000,69.750000,69.750000,3256100
2022-04-08,69.940002,70.430000,69.349998,70.169998,70.169998,4041000
2022-04-11,70.660004,70.959999,69.930000,70.510002,70.510002,3154600
2022-04-12,70.279999,70.930000,69.800003,70.430000,70.430000,3677300
2022-04-13,70.230003,70.750000,69.830002,70.680000,70.680000,3104600
2022-04-14,71.000000,71.239998,70.550003,70.919998,70.919998,6956500
2022-04-18,70.949997,71.300003,70.570000,70.839996,70.839996,2860700
2022-04-19,70.900002,71.800003,70.820000,71.720001,71.720001,3297400
2022-04-20,71.790001,72.930000,71.790001,72.830002,72.830002,2944800
2022-04-21,72.860001,73.800003,72.610001,73.190002,73.190002,2728600
2022-04-22,73.239998,73.419998,72.449997,72.500000,72.500000,3399800
